latitude,longitude,start_timestamp,end_timestamp
55.7687753,12.5056116,2023-06-15T17:29:21.428Z,2023-06-15T17:38:19.188Z
55.771057,12.504943,2023-06-15T17:42:22.875Z,2023-06-15T17:47:37.561Z
55.7821702,12.5118897,2023-06-15T18:00:17.955Z,2023-06-15T20:42:45.689Z
55.7963799,12.5357485,2023-06-15T20:55:43.203Z,2023-06-16T07:15:11.120Z
55.7821702,12.5118897,2023-06-16T07:34:37.390Z,2023-06-16T21:20:19.979Z
55.7855742,12.521381,2023-06-16T21:29:13.087Z,2023-06-16T23:05:03.835Z
55.7821702,12.5118897,2023-06-16T23:29:31.574Z,2023-06-17T08:58:55.314Z
55.7829162,12.5238415,2023-06-17T09:05:42.350Z,2023-06-17T09:18:28.447Z
55.7821702,12.5118897,2023-06-17T09:25:04.437Z,2023-06-17T12:01:40.928Z
55.6727679,12.5648118,2023-06-17T12:34:56.526Z,2023-06-17T12:37:38.031Z
55.6703153,12.524468,2023-06-17T13:06:11.444Z,2023-06-17T14:08:23.489Z
55.659476,12.5148206,2023-06-17T14:20:29.026Z,2023-06-17T14:26:34.309Z
55.6727679,12.5648118,2023-06-17T16:35:56.179Z,2023-06-17T16:40:52.913Z
55.7821702,12.5118897,2023-06-17T17:12:22.209Z,2023-06-17T17:31:37.905Z
55.7963799,12.5357485,2023-06-17T17:43:02.472Z,2023-06-18T11:42:30.232Z
55.7821702,12.5118897,2023-06-18T11:55:59.848Z,2023-06-18T13:42:45.258Z
55.7999324,12.4530473,2023-06-18T14:04:06.852Z,2023-06-18T20:23:14.078Z
55.7821702,12.5118897,2023-06-18T20:35:37.334Z,2023-06-19T10:44:41.118Z
55.7855742,12.521381,2023-06-19T10:54:58.952Z,2023-06-19T11:14:25Z
55.7821702,12.5118897,2023-06-19T11:35:01.657Z,2023-06-19T18:54:31.057Z
55.7829162,12.5238415,2023-06-19T18:56:56.043Z,2023-06-19T19:14:00.997Z
55.7963799,12.5357485,2023-06-19T19:27:55.427Z,2023-06-20T07:09:13.134Z
55.7821702,12.5118897,2023-06-20T07:48:05.039Z,2023-06-20T08:22:15.391Z
55.7829162,12.5238415,2023-06-20T08:31:09.015Z,2023-06-20T14:32:50.819Z
55.775741,12.521402,2023-06-20T14:39:01.922Z,2023-06-20T15:13:59.711Z
55.7829162,12.5238415,2023-06-20T15:17:33.471Z,2023-06-20T16:40:45.741Z
55.7821702,12.5118897,2023-06-20T16:51:57.987Z,2023-06-21T12:56:50.140Z
55.7855742,12.521381,2023-06-21T13:14:31.794Z,2023-06-21T17:44:45.885Z
